Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
526390,183990,Serious,Driver or rider,Female,45,08/01/2010,Friday,10,Camden,Car,Not a pedestrian
526390,183990,Serious,Passenger,Male,7,08/01/2010,Friday,10,Camden,Car,Not a pedestrian
526390,183990,Serious,Passenger,Female,65,08/01/2010,Friday,10,Camden,Car,Not a pedestrian
527690,181820,Serious,Driver or rider,Male,25,17/03/2010,Wednesday,20,Westminster,Motorcycle over 500cc,Not a pedestrian
528650,181370,Serious,Driver or rider,Female,26,18/03/2010,Thursday,8,Westminster,Pedal cycle,"In carriageway, not crossing"
527920,181000,Serious,Pedestrian,Male,61,18/03/2010,Thursday,14,Westminster,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
530230,182140,Serious,Driver or rider,Male,38,12/03/2010,Friday,20,Camden,Motor cycle 125cc and under,Not a pedestrian
527550,183440,Serious,Driver or rider,Male,32,24/03/2010,Wednesday,8,Westminster,Moped,Crossing elsewhere within 50m. of ped.crossing
526900,181170,Serious,Pedestrian,Male,unknown,21/03/2010,Sunday,1,Westminster,Car,Not a pedestrian
526420,183910,Serious,Driver or rider,Male,35,26/03/2010,Friday,14,Camden,Car,Not a pedestrian
529130,181260,Serious,Pedestrian,Female,unknown,26/03/2010,Friday,16,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
527780,180970,Serious,Driver or rider,Male,42,09/03/2010,Tuesday,8,Westminster,Motorcycle over 500cc,Not a pedestrian
528990,183880,Serious,Pedestrian,Male,41,29/03/2010,Monday,15,Camden,Car,Not a pedestrian
530270,181920,Serious,Driver or rider,Male,31,23/03/2010,Tuesday,19,Camden,Pedal cycle,Not a pedestrian
525390,185570,Serious,Pedestrian,Female,21,31/03/2010,Wednesday,16,Camden,Car,Not a pedestrian
528040,186990,Serious,Driver or rider,Male,46,21/01/2010,Thursday,9,Camden,Pedal cycle,Not a pedestrian
528790,184540,Serious,Pedestrian,Male,25,01/04/2010,Thursday,21,Camden,Motorcycle over 125cc and up to 500cc,Not a pedestrian
529920,181010,Serious,Pedestrian,Male,48,01/04/2010,Thursday,17,Westminster,Motorcycle over 500cc,Not a pedestrian
530060,178220,Serious,Pedestrian,Female,14,12/04/2010,Monday,21,Westminster,Motorcycle over 125cc and up to 500cc,On footway or verge
525160,182510,Serious,Passenger,Female,44,13/04/2010,Tuesday,19,Westminster,Car,Not a pedestrian
525800,186380,Serious,Driver or rider,Female,unknown,10/04/2010,Saturday,11,Camden,Pedal cycle,Not a pedestrian
530620,182040,Serious,Pedestrian,Female,31,15/04/2010,Thursday,13,Camden,Pedal cycle,Not a pedestrian
527670,180850,Serious,Driver or rider,Male,37,20/04/2010,Tuesday,7,Westminster,Pedal cycle,Not a pedestrian
524860,181960,Serious,Pedestrian,Female,12,20/04/2010,Tuesday,15,Westminster,Car,Not a pedestrian
529010,180300,Serious,Pedestrian,Female,18,24/04/2010,Saturday,17,Westminster,Taxi/Private hire car,Not a pedestrian
528690,181150,Serious,Pedestrian,Male,36,25/04/2010,Sunday,2,Westminster,Bus or coach (17 or more pass seats),Crossing elsewhere within 50m. of ped.crossing
529980,182300,Serious,Driver or rider,Male,49,29/04/2010,Thursday,17,Camden,Pedal cycle,Not a pedestrian
529820,181370,Serious,Pedestrian,Female,20,06/05/2010,Thursday,13,Camden,Bus or coach (17 or more pass seats),Not a pedestrian
529720,180360,Serious,Driver or rider,Male,22,03/05/2010,Monday,4,Westminster,Car,Not a pedestrian
530370,179660,Serious,Pedestrian,Male,46,06/05/2010,Thursday,12,Westminster,Taxi/Private hire car,Not a pedestrian
527750,181920,Serious,Passenger,Female,67,08/05/2010,Saturday,8,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
526100,182060,Serious,Driver or rider,Female,23,08/05/2010,Saturday,6,Westminster,Car,"In carriageway, crossing elsewhere"
528440,179880,Serious,Driver or rider,Male,51,10/05/2010,Monday,15,Westminster,Motorcycle over 500cc,Not a pedestrian
